round,time_start,time_end,lightweight_accuracy,heavyweight_accuracy,global_lightweight_accuracy,global_heavyweight_accuracy,lightweight_precision,heavyweight_precision,lightweight_recall,heavyweight_recall,lightweight_f1,heavyweight_f1,transfer_accuracy_light_to_heavy,transfer_accuracy_heavy_to_light,num_lightweight_samples,num_heavyweight_samples
22,105,110,0.6519444444444445,0.7819444444444444,0.5975,0.6108333333333333,0.6585492039112756,0.8203939810981028,0.8237885462555066,0.7924620655898189,0.7302225413796214,0.8056423835124479,0.925,0.925,30,30
23,110,115,0.6508333333333334,0.7972222222222222,0.6091666666666666,0.6141666666666666,0.6588458372041166,0.8277907831914487,0.8184043073910915,0.8154674498286832,0.7284644350181108,0.8210399425969245,0.9266666666666666,0.9266666666666666,30,30
24,115,120,0.6605555555555557,0.7933333333333333,0.6116666666666667,0.6008333333333333,0.6629267218884894,0.8352884766072354,0.8365149290259423,0.7973568281938327,0.738199675196725,0.8149594972900777,0.9191666666666667,0.9191666666666667,30,30
25,120,125,0.6616666666666666,0.7944444444444444,0.5933333333333334,0.62,0.6702456627038805,0.8305008982242796,0.8139990210474792,0.8051884483602546,0.7334727335914111,0.8171500443788667,0.925,0.925,30,30
26,125,130,0.6766666666666666,0.7877777777777778,0.6141666666666666,0.6091666666666666,0.6747204209535745,0.8304112560672626,0.8453255017131669,0.7909936368086147,0.7491030884471602,0.8096491976975649,0.945,0.945,30,30
27,130,135,0.6944444444444443,0.7838888888888889,0.6166666666666667,0.605,0.6807050757594778,0.8376295966377642,0.8835046500244738,0.7733724914341654,0.7674224631993155,0.8033993414784755,0.94,0.94,30,30
28,135,140,0.6822222222222223,0.8022222222222223,0.6025,0.6225,0.6789188780593164,0.838404976014087,0.8472834067547724,0.8115516397454723,0.7527516242646867,0.8241541124805609,0.9383333333333334,0.9383333333333334,30,30
29,140,145,0.6852777777777778,0.8069444444444445,0.6008333333333333,0.6133333333333333,0.6834786140275283,0.8390380825289214,0.8404307391091533,0.8208516886930984,0.7529854289819758,0.8291833430791247,0.9608333333333333,0.9608333333333333,30,30
30,145,150,0.6969444444444445,0.7902777777777779,0.6166666666666667,0.6025,0.6884991139766011,0.8386230608919099,0.861478218306412,0.7856093979441997,0.764371889344027,0.8104759917312135,0.9641666666666666,0.9641666666666666,30,30
31,150,155,0.6983333333333333,0.7916666666666666,0.6091666666666666,0.61,0.6888997954069077,0.8405950093110328,0.8629466470876163,0.7856093979441997,0.7653035455732379,0.8114984063075336,0.9758333333333333,0.9758333333333333,30,30
